date, category, title, amount
2020-11-19,saúde,Ivna Freitas de Sousa 1/2,55.5
2020-11-23,saúde,San Farma,11.77
2020-11-19,saúde,Ivna Freitas de Sousa 1/2,55.5
2020-11-23,saúde,San Farma,11.77
2020-02-15,saúde,Pag*Rafaellimade 1/2,75
2020-02-15,saúde,San Farma,11.6
2020-03-03,saúde,San Farma,7.84
2020-12-12,saúde,Ivna Freitas de Sousa 2/2,55.5
2020-12-19,saúde,San Farma,6.45
2020-12-23,saúde,San Farma,45
2020-08-15,saúde,Pag*Laboratoriodr,36
2020-08-15,saúde,Samfarma,48.35
2020-08-22,saúde,San Farma,13.44
2020-03-12,saúde,Pag*Rafaellimade 2/2,75
