date,category,title,amount
2021-06-14,transporte,Comercial de Combustiv,10.04
2021-06-14,supermercado,Mercantil Diamante,21.97
2021-06-14,serviços,Rei dos Salgado Delive,48
2021-06-14,supermercado,Milk Shake Mix,28.8
2021-06-14,serviços,Brisanet*Internet,93.33
2021-06-14,transporte,Maria das Candeias Dio,10
2021-06-15,casa,Mercpago*Mercadolivre 1/12,10
2021-06-15,serviços,Picpay*Xr7*Recargacel,10
2021-06-15,serviços,Picpay*Xr7*Recargacel,10
2021-06-16,transporte,Auto Posto Pitombeira,30.03
2021-06-16,eletrônicos,Perfumaria Caso de Ala,13.48
2021-06-19,supermercado,Pitexpress,22.5
2021-06-19,transporte,Jaguaribe Petroleo,4
2021-06-21,transporte,Auto Posto Pitombeira,30
